threshold,sensitivity,specificity,accuracy,f1,precision,roc_auc
0.01,1.0,0.0029,0.143,0.2469,0.1408,0.8056
0.011,0.9985,0.0029,0.1428,0.2466,0.1407,0.8056
0.012,0.9985,0.0031,0.143,0.2466,0.1407,0.8056
0.013,0.9985,0.0036,0.1434,0.2467,0.1408,0.8056
0.014,0.9985,0.0036,0.1434,0.2467,0.1408,0.8056
0.015,0.9985,0.0041,0.1438,0.2468,0.1408,0.8056
0.016,0.9985,0.0046,0.1442,0.2469,0.1409,0.8056
0.017,0.9985,0.005,0.1446,0.247,0.1409,0.8056
0.018,0.9985,0.0055,0.145,0.2471,0.141,0.8056
0.019,0.9985,0.0055,0.145,0.2471,0.141,0.8056
0.02,0.9985,0.0062,0.1457,0.2472,0.1411,0.8056
0.021,0.9985,0.0065,0.1459,0.2473,0.1411,0.8056
0.022,0.9985,0.0065,0.1459,0.2473,0.1411,0.8056
0.023,0.9985,0.0065,0.1459,0.2473,0.1411,0.8056
0.024,0.9985,0.007,0.1463,0.2474,0.1412,0.8056
0.025,0.9985,0.007,0.1463,0.2474,0.1412,0.8056
0.026,0.9985,0.0072,0.1465,0.2474,0.1412,0.8056
0.027,0.9985,0.0077,0.1469,0.2475,0.1413,0.8056
0.028,0.9985,0.0077,0.1469,0.2475,0.1413,0.8056
0.029,0.9985,0.0079,0.1471,0.2475,0.1413,0.8056
0.03,0.9985,0.0079,0.1471,0.2475,0.1413,0.8056
0.031,0.9985,0.0079,0.1471,0.2475,0.1413,0.8056
0.032,0.9985,0.0082,0.1473,0.2476,0.1413,0.8056
0.033,0.9985,0.0084,0.1475,0.2476,0.1413,0.8056
0.034,0.9985,0.0087,0.1477,0.2477,0.1414,0.8056
0.035,0.9985,0.0089,0.1479,0.2477,0.1414,0.8056
0.036,0.9985,0.0089,0.1479,0.2477,0.1414,0.8056
0.037,0.9985,0.0091,0.1481,0.2478,0.1414,0.8056
0.038,0.9985,0.0094,0.1483,0.2478,0.1415,0.8056
0.039,0.9985,0.0099,0.1488,0.2479,0.1415,0.8056
0.04,0.9985,0.0101,0.149,0.2479,0.1415,0.8056
0.041,0.9985,0.0101,0.149,0.2479,0.1415,0.8056
0.042,0.9985,0.0103,0.1492,0.248,0.1416,0.8056
0.043,0.9985,0.0106,0.1494,0.248,0.1416,0.8056
0.044,0.9985,0.0108,0.1496,0.2481,0.1416,0.8056
0.045,0.9985,0.0111,0.1498,0.2481,0.1417,0.8056
0.046,0.9985,0.0113,0.15,0.2482,0.1417,0.8056
0.047,0.9985,0.0115,0.1502,0.2482,0.1417,0.8056
0.048,0.9985,0.0118,0.1504,0.2483,0.1418,0.8056
0.049,0.9985,0.0118,0.1504,0.2483,0.1418,0.8056
0.05,0.9985,0.0125,0.151,0.2484,0.1418,0.8056
0.051,0.9985,0.013,0.1514,0.2485,0.1419,0.8056
0.052,0.9985,0.0132,0.1517,0.2485,0.1419,0.8056
0.053,0.9985,0.0137,0.1521,0.2486,0.142,0.8056
0.054,0.9985,0.0139,0.1523,0.2487,0.142,0.8056
0.055,0.9985,0.0144,0.1527,0.2488,0.1421,0.8056
0.056,0.9985,0.0147,0.1529,0.2488,0.1421,0.8056
0.057,0.9985,0.0151,0.1533,0.2489,0.1422,0.8056
0.058,0.9985,0.0154,0.1535,0.249,0.1422,0.8056
0.059,0.9985,0.0156,0.1537,0.249,0.1422,0.8056
0.06,0.9985,0.0166,0.1545,0.2492,0.1424,0.8056
0.061,0.9985,0.0168,0.1548,0.2492,0.1424,0.8056
0.062,0.9985,0.0171,0.155,0.2493,0.1424,0.8056
0.063,0.9985,0.0171,0.155,0.2493,0.1424,0.8056
0.064,0.9985,0.0171,0.155,0.2493,0.1424,0.8056
